,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Ability Score
336,336,Kosta Koufos,31,"Canton, OH",USA,,,Ohio State University,40.0068363,-83.0306222,"7'0""",9.6
338,338,Kyle Kuzma,24,"Flint, MI",USA,,,University of Utah,40.7649368,-111.8421021,"6'8""",27.7
339,339,Skal Labissiere,24,Port-Au-Prince,Haiti,,,University of Kentucky,38.0306511,-84.5039697,"6'10""",5.5
340,340,Skal Labissiere,24,Port-Au-Prince,Haiti,,,University of Kentucky,38.0306511,-84.5039697,"6'10""",6.699999999999998
341,341,Jeremy Lamb,27,"Henrico Valley, VA",USA,,,University of Connecticut,41.8077414,-72.2539805,"6'5""",24.5
342,342,Zach LaVine,25,"Renton, WA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'6""",34.3
343,343,Jake Layman,26,"Norwood, MA",USA,,,University of Maryland,38.9869183,-76.9425543,"6'8""",12.2
344,344,TJ Leaf,22,Tel Aviv,USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'10""",7.0
345,345,Courtney Lee,34,"Indianapolis, IN",USA,,,Western Kentucky University,36.983537,-86.4573752,"6'5""",9.1
346,346,Courtney Lee,34,"Indianapolis, IN",USA,,,Western Kentucky University,36.983537,-86.4573752,"6'5""",6.4
347,347,Damion Lee,27,Baltimore. MD,USA,,,Louisville,38.2526647,-85.7584557,"6'5""",7.700000000000001
349,349,Alex Len,26,Antratsit,Ukraine,,,University of Maryland,38.9869183,-76.9425543,"7'0""",19.0
350,350,Kawhi Leonard,28,"Los Angeles, CA",USA,,,San Diego State University,32.7739344,-117.0701349,"6'7""",39.39999999999999
351,351,Meyers Leonard,28,"Woodbridge, VA",USA,,,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,"7'0""",11.3
352,352,Jon Leuer,30,"Long Lake, MN",USA,,,University of Wisconsin,43.076592,-89.4124875,"6'10""",6.899999999999999
353,353,Caris LeVert,25,"Columbus, OH",USA,,,University of Michigan,42.2780436,-83.7382241,"6'6""",22.8
354,354,Damian Lillard,29,"Oakland, CA",USA,,,Weber State University,41.19246820000001,-111.9444959,"6'2""",38.8
355,355,Jeremy Lin,31,"Palo Alto, CA",USA,,,Harvard University,42.3770029,-71.11666009999999,"6'3""",17.3
356,356,Jeremy Lin,31,"Palo Alto, CA",USA,,,Harvard University,42.3770029,-71.11666009999999,"6'3""",12.500000000000002
359,359,Kevon Looney,24,"Milwaukee, WI",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'9""",14.2
360,360,Brook Lopez,32,"North Hollywood, CA",USA,,,Stanford University,37.4274745,-122.169719,"7'0""",21.4
361,361,Robin Lopez,32,"North Hollywood, CA",USA,,,Stanford University,37.4274745,-122.169719,"7'0""",15.8
362,362,Kevin Love,31,"Santa Monica, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'8""",30.7
363,363,Kyle Lowry,34,"Philadelphia, PA",USA,,,Villanova University,40.0378952,-75.34333149999999,"6'0""",29.6
368,368,Tyler Lydon,24,"Hudson, NY",USA,,,Syracuse University,43.0391534,-76.1351158,"6'9""",1.9
369,369,Trey Lyles,24,Saskatoon,USA,,,University of Kentucky,38.0306511,-84.5039697,"6'9""",14.6
371,371,Shelvin Mack,29,"Lexington, KY",USA,,,Butler University,39.8405491,-86.1708927,"6'3""",14.1
372,372,Shelvin Mack,29,"Lexington, KY",USA,,,Butler University,39.8405491,-86.1708927,"6'3""",3.4000000000000004
380,380,Lauri Markkanen,22,Vantaa,Finland,,,University of Arizona,32.2318851,-110.9501094,"7'0""",30.5
381,381,Jarell Martin,25,"Baton Rouge, LA",USA,,,Louisiana State University,30.4132579,-91.1800023,"6'10""",5.1000000000000005
382,382,Frank Mason,26,"Petersburg, VA",USA,,,University of Kansas,38.9543439,-95.2557961,"5'11""",8.899999999999997
384,384,Wesley Matthews,33,"San Antonio, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'4""",18.8
385,385,Wesley Matthews,33,"San Antonio, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'4""",12.0
386,386,Wesley Matthews,33,"San Antonio, TX",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'4""",17.199999999999996
387,387,Luc Mbah a Moute,33,Yaounde,Cameroon,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'8""",7.7
389,389,Patrick McCaw,24,"St. Louis, MO",USA,,,"University of Nevada, Las Vegas",36.1085197,-115.1431709,"6'7""",4.1000000000000005
390,390,Patrick McCaw,24,"St. Louis, MO",USA,,,"University of Nevada, Las Vegas",36.1085197,-115.1431709,"6'7""",6.3
391,391,CJ McCollum,28,"Canton, OH",USA,,,Lehigh University,40.6048687,-75.3775187,"6'3""",29.2
392,392,T.J. McConnell,28,"Pittsburgh, PA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'1""",13.3
393,393,Doug McDermott,28,"Grand Forks, ND",USA,,,Creighton University,41.2655521,-95.94638619999999,"6'7""",9.9
394,394,JaVale McGee,32,"Flint, MI",USA,,,"University of Nevada, Reno",39.5441917,-119.816397,"7'0""",22.9
395,395,Rodney McGruder,28,"Landover, MD",USA,,,Kansas State University,39.1974437,-96.5847249,"6'4""",13.599999999999998
396,396,Alfonzo McKinnie,27,"Chicago, IL",USA,,,University of Wisconsin-Green Bay,44.531177,-87.9210686,"6'7""",9.0
397,397,Ben McLemore,27,"St. Louis, MO",USA,,,University of Kansas,38.9543439,-95.2557961,"6'3""",5.5
398,398,Jordan McRae,29,"Savannah, GA",USA,,,University of Tennessee,35.9544013,-83.92945639999999,"6'5""",9.2
399,399,Jodie Meeks,32,"Norcross, GA",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'4""",9.1
403,403,Khris Middleton,28,"Charleston, SC",USA,,,Texas A&M University,30.6187558,-96.33647719999999,,29.700000000000006
406,406,Darius Miller,30,"Maysville, KY",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'6""",13.0
407,407,Malcolm Miller,27,"Gaithersburg, MD",USA,,,College of the Holy Cross,42.2392391,-71.8079608,"6'7""",4.299999999999999
408,408,Patty Mills,31,Canberra,Australia,,,Saint Mary's College of California,37.8413472,-122.1101354,"6'1""",15.8
409,409,Paul Millsap,35,"Monroe, LA",USA,,,Louisiana Tech University,32.5282644,-92.6499298,"6'7""",23.8
413,413,Donovan Mitchell,23,"Elmsford, NY",USA,,,University of Louisville,38.2122761,-85.75850229999999,"6'1""",33.9
414,414,Naz Mitrou-Long,26,Mississauga,Canada,,,Iowa State University,42.0266187,-93.6464654,,2.8000000000000003
415,415,Malik Monk,22,"Jonesboro, AR",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'3""",13.2
416,416,Greg Monroe,29,"New Orleans, LA",USA,,,Georgetown University,38.9076089,-77.07225849999999,"6'11""",9.8
417,417,Greg Monroe,29,"New Orleans, LA",USA,,,Georgetown University,38.9076089,-77.07225849999999,"6'11""",5.0
418,418,Greg Monroe,29,"New Orleans, LA",USA,,,Georgetown University,38.9076089,-77.07225849999999,"6'11""",20.6
419,419,E'Twaun Moore,31,"East Chicago, IN",USA,,,Purdue University,40.4237054,-86.92119459999999,"6'3""",17.2
420,420,Eric Moreland,28,"Houston, TX",USA,,,Oregon State University,44.5637806,-123.2794443,"6'10""",3.0
421,421,Eric Moreland,28,"Houston, TX",USA,,,Oregon State University,44.5637806,-123.2794443,"6'10""",7.4
423,423,Markieff Morris,30,"Philadelphia, PA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'8""",19.700000000000006
424,424,Markieff Morris,30,"Philadelphia, PA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'8""",11.7
425,425,Monte Morris,24,"Grand Rapids, MI",USA,,,Iowa State University,42.0266187,-93.6464654,"6'2""",17.3
426,426,Marcus Morris Sr.,30,"Philadelphia, PA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'8""",22.4
428,428,Johnathan Motley,24,"Houston, TX",USA,,,Baylor University,31.5469132,-97.1210998,"6'8""",7.699999999999998
430,430,Jamal Murray,23,Kitchener,Canada,,,University of Kentucky,38.0306511,-84.5039697,"6'4""",28.5
432,432,Mike Muscala,28,"St. Louis Park, MN",USA,,,Bucknell University,40.9547722,-76.88507589999999,"6'10""",14.0
433,433,Mike Muscala,28,"St. Louis Park, MN",USA,,,Bucknell University,40.9547722,-76.88507589999999,"6'10""",10.2
436,436,Abdel Nader,26,Alexandria,Egypt,,,Iowa State University,42.0266187,-93.6464654,"6'5""",6.7
437,437,Larry Nance Jr.,27,"Akron, OH",USA,,,University of Wyoming,41.3148754,-105.5665744,"6'7""",22.9
438,438,Shabazz Napier,28,"Roxbury, MA",USA,,,University of Connecticut,41.8077414,-72.2539805,"6'0""",14.900000000000002
440,440,Georges Niang,26,"Lawrence, MA",USA,,,Iowa State University,42.0266187,-93.6464654,"6'7""",6.4
441,441,Joakim Noah,35,"New York, NY",USA,,,University of Florida,29.6436325,-82.3549302,"6'11""",16.1
442,442,Nerlens Noel,26,"Malden, MA",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'10""",11.8
448,448,David Nwaba,27,"Los Angeles, CA",USA,,,"California Polytechnic State University, San Luis Obispo",35.3050053,-120.6624942,"6'4""",11.8
449,449,Semi Ojeleye,25,"Overland Park, KS",USA,,,Southern Methodist University,32.8412178,-96.78451749999999,"6'6""",5.5
450,450,Jahlil Okafor,24,"Chicago, IL",USA,,,Duke University,36.0014258,-78.9382286,"6'10""",14.599999999999998
453,453,Victor Oladipo,27,"Silver Spring, MD",USA,,,Indiana University,39.1754487,-86.512627,"6'4""",31.6
454,454,Kelly Olynyk,28,Toronto,Canada,,,Gonzaga University,47.66703210000001,-117.4014343,"6'11""",17.7
455,455,Royce O'Neale,26,"Killeen, TX",USA,,,Baylor University,31.5469132,-97.1210998,"6'4""",11.2
456,456,Kyle O'Quinn,30,"Flushing, NY",USA,,,Norfolk State University,36.8480161,-76.262085,"6'9""",8.1
458,458,Kelly Oubre Jr.,24,"New Orleans, LA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'7""",19.6
459,459,Kelly Oubre Jr.,24,"New Orleans, LA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'7""",25.700000000000006
461,461,Jabari Parker,25,"Chicago, IL",USA,,,Duke University,36.0014258,-78.9382286,"6'8""",23.7
462,462,Jabari Parker,25,"Chicago, IL",USA,,,Duke University,36.0014258,-78.9382286,"6'8""",26.4
464,464,Chandler Parsons,31,"Casselberry, FL",USA,,,University of Florida,29.6436325,-82.3549302,"6'9""",13.0
465,465,Patrick Patterson,31,"Washington, DC",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'8""",6.9
466,466,Justin Patton,22,"Riverdale, GA",USA,,,Creighton University,41.2655521,-95.94638619999999,"6'11""",5.4
467,467,Chris Paul,34,"Winston-Salem, NC",USA,,,Wake Forest University,36.1355052,-80.2791958,"6'1""",30.1
468,468,Cameron Payne,25,"Memphis, TN",USA,,,Murray State University,36.6163842,-88.3214979,"6'3""",10.9
469,469,Cameron Payne,25,"Memphis, TN",USA,,,Murray State University,36.6163842,-88.3214979,"6'3""",14.1
470,470,Elfrid Payton,26,"Gretna, LA",USA,,,University of Louisiana at Lafayette,30.2114404,-92.0204121,"6'3""",24.8
471,471,Gary Payton II,27,"Seattle, WA",USA,,,Oregon State University,44.5637806,-123.2794443,"6'3""",7.0
473,473,Mason Plumlee,30,"Fort Wayne, IN",USA,,,Duke University,36.0014258,-78.9382286,"6'11""",18.9
474,474,Miles Plumlee,31,"Fort Wayne, IN",USA,,,Duke University,36.0014258,-78.9382286,"6'11""",8.0
475,475,Jakob Poeltl,24,Vienna,Austria,,,University of Utah,40.7649368,-111.8421021,"7'1""",13.3
476,476,Quincy Pondexter,32,"Fresno, CA",USA,,,University of Washington,47.6912794,-122.3176141,"6'7""",3.4000000000000004
477,477,Otto Porter Jr.,26,"St. Louis, MO",USA,,,Georgetown University,38.9076089,-77.07225849999999,"6'8""",22.4
478,478,Otto Porter Jr.,26,"St. Louis, MO",USA,,,Georgetown University,38.9076089,-77.07225849999999,"6'8""",27.5
479,479,Bobby Portis,25,"Little Rock, AR",USA,,,University of Arkansas,36.0686895,-94.1748471,"6'10""",23.6
480,480,Bobby Portis,25,"Little Rock, AR",USA,,,University of Arkansas,36.0686895,-94.1748471,"6'10""",25.8
481,481,Dwight Powell,28,Toronto,Canada,,,Stanford University,37.4274745,-122.169719,"6'10""",18.7
482,482,Norman Powell,26,"San Diego, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'3""",13.199999999999998
483,483,Alex Poythress,26,"Savannah, GA",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'9""",10.2
484,484,Taurean Prince,26,"San Marcos, TX",USA,,,Baylor University,31.5469132,-97.1210998,"6'7""",20.500000000000004
485,485,Ivan Rabb,23,"Sacramento, CA",USA,,,University of California,37.8718992,-122.2585399,"6'10""",11.7
486,486,Chasson Randle,27,"Rock Island, IL",USA,,,Stanford University,37.4274745,-122.169719,"6'2""",9.2
487,487,Julius Randle,25,"Dallas, TX",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'8""",34.5
488,488,JJ Redick,35,"Cookeville, TN",USA,,,Duke University,36.0014258,-78.9382286,"6'3""",23.8
489,489,Davon Reed,24,"Princeton, NJ",USA,,,University of Miami,25.7178924,-80.2746368,"6'5""",2.2
491,491,Josh Richardson,26,"Edmond, OK",USA,,,University of Tennessee,35.9544013,-83.92945639999999,"6'5""",25.90000000000001
492,492,Malachi Richardson,24,"Trenton, NJ",USA,,,Syracuse University,43.0391534,-76.1351158,"6'6""",2.0
493,493,Austin Rivers,27,"Santa Monica, CA",USA,,,Duke University,36.0014258,-78.9382286,"6'3""",12.5
494,494,Austin Rivers,27,"Santa Monica, CA",USA,,,Duke University,36.0014258,-78.9382286,"6'3""",13.8
495,495,Devin Robinson,25,"Christchurch, VA",USA,,,University of Florida,29.6436325,-82.3549302,"6'7""",12.0
499,499,Glenn Robinson III,26,"Gary, IN",USA,,,University of Michigan,42.2780436,-83.7382241,"6'6""",6.6000000000000005
500,500,Rajon Rondo,34,"Louisville, KY",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'1""",23.9
501,501,Derrick Rose,31,"Chicago, IL",USA,,,University of Memphis,35.1187498,-89.9374928,"6'2""",25.8
502,502,Terrence Ross,29,"Portland, OR",USA,,,University of Washington,47.6912794,-122.3176141,"6'6""",21.6
503,503,Terry Rozier,26,"Youngstown, OH",USA,,,University of Louisville,38.2122761,-85.75850229999999,"6'1""",17.0
505,505,D'Angelo Russell,24,"Louisville, KY",USA,,,Ohio State University,40.0068363,-83.0306222,"6'4""",33.40000000000001
506,506,Domantas Sabonis,23,"Portland, OR",Lithuania,,,Gonzaga University,47.66703210000001,-117.4014343,"6'11""",27.5
508,508,JaKarr Sampson,27,"Cleveland, OH",USA,,,St. John's University,40.7220627,-73.79421119999999,"6'7""",30.8
513,513,Mike Scott,31,"Chesapeake, VA",USA,,,Virginia,37.4315734,-78.6568942,"6'7""",9.4
514,514,Mike Scott,31,"Chesapeake, VA",USA,,,Virginia,37.4315734,-78.6568942,"6'7""",12.9
516,516,Wayne Selden,25,"Roxbury, MA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'5""",8.4
517,517,Wayne Selden,25,"Roxbury, MA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'5""",13.599999999999998
521,521,Iman Shumpert,29,"Oak Park, IL",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,"6'5""",15.8
522,522,Iman Shumpert,29,"Oak Park, IL",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,"6'5""",9.1
523,523,Pascal Siakam,26,Douala,Cameroon,,,New Mexico State University,32.2787745,-106.7479059,"6'9""",28.4
525,525,Ben Simmons,23,Fitzroy,Australia,,,Louisiana State University,30.4132579,-91.1800023,"6'10""",35.59999999999999
526,526,Jonathon Simmons,30,"Houston, TX",USA,,,University of Houston,29.7199489,-95.3422334,"6'6""",12.4
527,527,Jonathon Simmons,30,"Houston, TX",USA,,,University of Houston,29.7199489,-95.3422334,"6'6""",10.2
528,528,Kobi Simmons,22,"Atlanta, GA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'5""",0.0
530,530,Marcus Smart,26,"Flower Mound, TX",USA,,,Oklahoma State University,36.1211205,-97.06847669999999,"6'3""",17.9
531,531,Ish Smith,31,"Charlotte, NC",USA,,,Wake Forest University,36.1355052,-80.2791958,"6'0""",15.8
532,532,Jason Smith,34,"Greeley, CO",USA,,,Colorado State University,40.573436,-105.0865473,"7'0""",8.3
533,533,Jason Smith,34,"Greeley, CO",USA,,,Colorado State University,40.573436,-105.0865473,"7'0""",4.8
534,534,Jason Smith,34,"Greeley, CO",USA,,,Colorado State University,40.573436,-105.0865473,"7'0""",6.5
537,537,Dennis Smith Jr.,22,"Fayetteville, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,"6'2""",21.7
538,538,Dennis Smith Jr.,22,"Fayetteville, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,"6'2""",24.6
539,539,Tony Snell,28,"Riverside, CA",USA,,,University of New Mexico,35.0843187,-106.6197812,"6'6""",9.6
543,543,Nik Stauskas,26,Mississauga,Canada,,,University of Michigan,42.2780436,-83.7382241,"6'6""",9.7
544,544,Nik Stauskas,26,Mississauga,Canada,,,University of Michigan,42.2780436,-83.7382241,"6'6""",8.700000000000001
546,546,Lance Stephenson,29,"Brooklyn, NY",USA,,,University of Cincinnati,39.1329219,-84.51495039999999,"6'6""",13.2
547,547,Edmond Sumner,24,"Detroit, MI",USA,,,Xavier University,39.149448,-84.47363740000002,"6'4""",5.0
548,548,Caleb Swanigan,22,"Indianapolis, IN",USA,,,Purdue University,40.4237054,-86.92119459999999,"6'9""",5.4
549,549,Caleb Swanigan,22,"Indianapolis, IN",USA,,,Purdue University,40.4237054,-86.92119459999999,"6'9""",9.0
550,550,Jayson Tatum,22,"St. Louis, MO",USA,,,Duke University,36.0014258,-78.9382286,"6'8""",25.6
551,551,Jeff Teague,31,"Indianapolis, IN",USA,,,Wake Forest University,36.1355052,-80.2791958,"6'3""",24.2
552,552,Garrett Temple,33,"Baton Rouge, LA",USA,,,Louisiana State University,30.4132579,-91.1800023,"6'5""",15.4
553,553,Garrett Temple,33,"Baton Rouge, LA",USA,,,Louisiana State University,30.4132579,-91.1800023,"6'5""",9.8
559,559,Isaiah Thomas,31,"Tacoma, WA",USA,,,University of Washington,47.6912794,-122.3176141,"5'9""",11.7
561,561,Lance Thomas,31,"Brooklyn, NY",USA,,,Duke University,36.0014258,-78.9382286,"6'8""",8.2
562,562,Klay Thompson,30,"Los Angeles, CA",USA,,,Washington State University,46.7319225,-117.1542121,"6'6""",29.5
563,563,Tristan Thompson,29,Toronto,Canada,,,University of Texas at Austin,30.2849185,-97.7340567,"6'9""",24.1
564,564,Sindarius Thornwell,25,"Lancaster, SC",USA,,,University of South Carolina,33.9937575,-81.0299186,"6'4""",2.3000000000000003
565,565,Anthony Tolliver,34,"Springfield, MO",USA,,,Creighton University,41.2655521,-95.94638619999999,"6'8""",9.000000000000002
566,566,Karl-Anthony Towns,24,"Edison, NJ",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'11""",42.7
569,569,P.J. Tucker,34,"Raleigh, NC",USA,,,University of Texas at Austin,30.2849185,-97.7340567,"6'5""",16.4
570,570,Evan Turner,31,"Chicago, IL",USA,,,Ohio State University,40.0068363,-83.0306222,"6'6""",15.9
571,571,Myles Turner,24,"Bedford, TX",USA,,,University of Texas at Austin,30.2849185,-97.7340567,"6'11""",25.6
572,572,Ekpe Udoh,32,"Edmond, OK",USA,,,Baylor University,31.5469132,-97.1210998,"6'10""",5.4
573,573,Tyler Ulis,24,"Detroit, MI",USA,,,University of Kentucky,38.0306511,-84.5039697,"5'10""",0.0
577,577,Fred VanVleet,26,"Rockford, IL",USA,,,Wichita State University,37.7186367,-97.29414140000002,"6'1""",19.6
578,578,Noah Vonleh,24,"Haverhill, MA",USA,,,Indiana University,39.1754487,-86.512627,"6'10""",19.6
579,579,Nikola Vucevic,29,Morges,Montenegro,,,University of Southern California,34.0223519,-118.285117,"6'11""",38.7
580,580,Dwyane Wade,38,"Chicago, IL",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'4""",24.5
582,582,Dion Waiters,28,"Philadelphia, PA",USA,,,Syracuse University,43.0391534,-76.1351158,"6'3""",18.4
583,583,Kemba Walker,29,"Bronx, NY",USA,,,University of Connecticut,41.8077414,-72.2539805,"6'0""",37.5
585,585,John Wall,29,"Raleigh, NC",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'4""",35.4
586,586,Tyrone Wallace,25,"Bakersfield, CA",USA,,,University of California,37.8718992,-122.2585399,"6'5""",6.199999999999998
588,588,T.J. Warren,26,"Durham, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,"6'8""",25.4
592,592,Russell Westbrook,31,"Long Beach, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'3""",47.1
593,593,Derrick White,25,"Parker, CO",USA,,,University of Colorado,40.00758099999999,-105.2659417,"6'4""",19.2
594,594,Okaro White,27,"Clearwater, FL",USA,,,Florida State University,30.4418778,-84.2984889,"6'8""",0.7
595,595,Hassan Whiteside,30,"Gastonia, NC",USA,,,Marshall University,38.4235252,-82.42641449999999,"7'0""",27.000000000000004
596,596,Andrew Wiggins,25,Toronto,Canada,,,University of Kansas,38.9543439,-95.2557961,"6'7""",27.1
597,597,Alan Williams,27,"Phoenix, AZ",USA,,,"University of California, Santa Barbara",34.4139629,-119.848947,"6'8""",8.2
598,598,C.J. Williams,30,"Fayetteville, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,"6'5""",4.300000000000002
602,602,Marvin Williams,33,"Bremerton, WA",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'8""",18.4
603,603,Troy Williams,25,"Hampton, VA",USA,,,Indiana University,39.1754487,-86.512627,"6'7""",9.5
605,605,D.J. Wilson,24,"Mt. Shasta, CA",USA,,,University of Michigan,42.2780436,-83.7382241,"6'10""",12.3
606,606,Justise Winslow,24,"Houston, TX",USA,,,Duke University,36.0014258,-78.9382286,"6'6""",23.700000000000006
607,607,Christian Wood,24,"Long Beach, CA",USA,,,"University of Nevada, Las Vegas",36.1085197,-115.1431709,"6'10""",4.5
608,608,Christian Wood,24,"Long Beach, CA",USA,,,"University of Nevada, Las Vegas",36.1085197,-115.1431709,"6'10""",27.7
609,609,Delon Wright,27,"Los Angeles, CA",USA,,,University of Utah,40.7649368,-111.8421021,"6'5""",12.9
610,610,Delon Wright,27,"Los Angeles, CA",USA,,,University of Utah,40.7649368,-111.8421021,"6'5""",25.200000000000006
612,612,Nick Young,34,"Los Angeles, CA",USA,,,University of Southern California,34.0223519,-118.285117,"6'7""",3.1000000000000005
613,613,Thaddeus Young,31,"New Orleans, LA",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,"6'8""",23.5
615,615,Cody Zeller,27,"Washington, IN",USA,,,Indiana University,39.1754487,-86.512627,"7'0""",20.7
616,616,Tyler Zeller,30,"Visalia, CA",USA,,,University of North Carolina,35.9049122,-79.0469134,"7'0""",3.5
617,617,Tyler Zeller,30,"Visalia, CA",USA,,,University of North Carolina,35.9049122,-79.0469134,"7'0""",17.8
623,623,Cliff Alexander,24,"Chicago, IL",USA,,,University of Kansas,38.9543439,-95.2557961,"6'8""",0.0
625,625,Nickeil Alexander-Walker,21,"Toronto, ON",Canada,,,Virginia Tech,37.22838429999999,-80.42341669999999,"6'5""",0.0
629,629,Cat Barber,25,,USA,,,North Carolina State,35.7846633,-78.6820946,"6'1""",0.0
630,630,RJ Barrett,19,"Toronto, ON",Canada,,,Duke,36.0014258,-78.9382286,"6'6""",0.0
631,631,Tyus Battle,22,,,,,Syracuse,43.0481221,-76.14742439999999,"6'6""",0.0
633,633,Javon Bess,24,"Pickerington, OH",USA,,,St. Louis,38.6270025,-90.19940419999999,"6'5""",0.0
636,636,Keljin Blevins,24,"Hot Springs, AR",USA,,,Montana State,46.8796822,-110.3625658,"6'6""",0.0
638,638,Bol Bol,20,Khartoum,Sudan,,,Oregon,43.8041334,-120.5542012,"7'2""",0.0
639,639,Marques Bolden,21,,,,,Duke,36.0014258,-78.9382286,"6'10""",0.0
640,640,Jordan Bone,22,"Nashville, TN",USA,,,Tennessee,35.5174913,-86.5804473,"6'3""",0.0
641,641,Phil Booth,24,"Bltimore, MD",USA,,,Villanova,40.0375832,-75.3491813,"6'2""",0.0
643,643,Ky Bowman,22,"Havelock, NC",USA,,,Boston College,42.3355488,-71.16849450000001,"6'1""",0.0
644,644,Jacobi Boykins,25,,USA,,,Louisiana Tech,32.5282644,-92.6499298,"6'6""",0.0
645,645,Jarrell Brantley,23,"Charleston, SC",USA,,,College of Charleston,32.7834441,-79.93700179999999,"6'5""",0.0
646,646,Ignas Brazdeikis,21,Kaunas,Lithuania,,,Michigan,44.3148443,-85.60236429999999,"6'6""",0.0
647,647,Oshae Brissett,21,"Toronto, ON",Canada,,,Syracuse,43.0481221,-76.14742439999999,"6'7""",0.0
648,648,Armoni Brooks,21,,USA,,,Houston,29.7604267,-95.3698028,"6'3""",0.0
649,649,Scott Brooks,2,"French Camp, CA",USA,,,"University of California, Irvine",33.6404952,-117.8442962,,0.0
650,650,Barry Brown,23,"At. Petersburg, FL",USA,,,Kansas State,37.8825576,-95.7339434,"6'3""",0.0
651,651,Bobby Brown,35,"Versailles, OH",USA,,,Miami University,39.5105334,-84.73087679999999,,0.0
653,653,Jabari Brown,27,,USA,,,Missouri,37.9642529,-91.8318334,"6'4""",0.0
654,654,Markel Brown,28,"Pineville, LA",USA,,,Oklahoma State University,36.1211205,-97.06847669999999,"6'3""",0.0
655,655,Moses Brown,20,"New York, NY",USA,,,UCLA,34.068921,-118.4451811,"7'2""",0.0
660,660,Devontae Cacok,23,"Chicago, IL",USA,,,UNC Wilmington,34.223874,-77.8696036,"6'8""",0.0
662,662,Rick Carlisle,2,"Ogdensburg, NY",USA,,,University of Virginia,38.0335529,-78.5079772,,0.0
663,663,Jordan Caroline,24,"Champagne, IL",USA,,,Nevada-Reno,39.5296329,-119.8138027,"6'7""",0.0
664,664,Tony Carr,22,,USA,,,Penn State,40.7982133,-77.8599084,"6'5""",0.0
665,665,Zylan Cheatham,24,"Phoenix, AZ",USA,,,Arizona State,33.4242399,-111.9280527,"6'5""",0.0
666,666,Brandon Clarke,23,"Vancouver, BC",Canada,,,Gonzaga,47.66703210000001,-117.4014343,"6'8""",0.0
667,667,Gian Clavell,26,Caguas,Puerto Rico,,,Colorado State University,40.573436,-105.0865473,,0.0
668,668,Nicolas Claxton,20,"Greenville, SC",USA,,,Georgia,32.1656221,-82.9000751,"6'11""",0.0
669,669,Chris Clemons,22,"Raleigh, nC",USA,,,Campbell,37.2871651,-121.9499568,"5'9""",0.0
670,670,Antonius Cleveland,26,"Memphis, TN",USA,,,Southeast Missouri State University,37.3148783,-89.52804379999999,,0.0
672,672,Philip Cofer,23,,USA,,,Florida State,30.4418778,-84.2984889,"6'8""",0.0
673,673,Amir Coffey,22,"Hopkins, MN",USA,,,Minnesota,46.729553,-94.6858998,"6'7""",0.0
674,674,Kyle Collinsworth,28,"Provo, UT",USA,,,Brigham Young University,40.2518435,-111.6493156,"6'6""",0.0
675,675,Tyler Cook,22,"St. Louis, MO",USA,,,Iowa,41.8780025,-93.097702,"6'9""",0.0
677,677,Jarrett Culver,21,"Lubbock, TX",USA,,,Texas Tech,33.5842591,-101.8782822,"6'6""",0.0
679,679,Jon Davis,23,,USA,,,Charlotte,35.2270869,-80.8431267,"6'2""",0.0
