,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
120,120,Marquese Chriss,22,"Sacramento, CA",USA,38.5815719,-121.4943996,University of Washington,,,11.4
121,121,Gary Clark,25,"Smithfield, NC",USA,35.5084935,-78.3394455,,,,6.5
122,122,Ian Clark,29,"Memphis, TN",USA,35.1495343,-90.0489801,Belmont University,,,10.3
123,123,Jordan Clarkson,27,"Tampa, FL",USA,27.950575,-82.4571776,University of Missouri,,,23.4
124,124,John Collins,22,"Layton, UT",USA,41.0602216,-111.9710529,Wake Forest University,,,32.3
125,125,Zach Collins,22,"Las Vegas, NV",USA,36.1699412,-115.1398296,Gonzaga University,,,12.900000000000002
126,126,Darren Collison,32,"Rancho Cucamonga, CA",USA,34.10639889999999,-117.5931084,"University of California, Los Angeles",,,21.8
127,127,Bonzie Colson,24,"Washington, DC",USA,38.9071923,-77.0368707,,,,9.8
128,128,Mike Conley,32,"Fayetteville, AR",USA,36.082156,-94.17185420000001,Ohio State University,,,32.49999999999999
129,129,Pat Connaughton,27,"Arlington, MA",USA,42.4153925,-71.1564729,University of Notre Dame,,,14.000000000000002
130,130,Quinn Cook,27,"Washington, DC",USA,38.9071923,-77.0368707,Duke University,,,10.8
131,131,DeMarcus Cousins,29,"Mobile, AL",USA,30.6953657,-88.0398912,University of Kentucky,,,29.9
132,132,Robert Covington,29,"Bellwood, IL",USA,41.8814197,-87.883117,Tennessee State University,,,21.200000000000006
133,133,Robert Covington,29,"Bellwood, IL",USA,41.8814197,-87.883117,Tennessee State University,,,25.0
134,134,Allen Crabbe,28,"Los Angeles, CA",USA,34.0522342,-118.2436849,University of California,,,14.9
135,135,Torrey Craig,29,"Columbia, SC",USA,34.0007104,-81.0348144,University of South Carolina Upstate,,,11.3
136,136,Jamal Crawford,40,"Seattle, WA",USA,47.6062095,-122.3320708,University of Michigan,,,13.5
137,137,Mitch Creek,27,Horsham,Australia,-36.7188618,142.1962316,,,,7.7
138,138,Mitch Creek,27,Horsham,Australia,-36.7188618,142.1962316,,,,10.0
139,139,Jae Crowder,29,"Villa Rica, GA",USA,33.732052,-84.9191081,Marquette University,,,19.6
140,140,Dante Cunningham,32,"Clinton, MD",USA,38.7651145,-76.8983059,Villanova University,,,7.300000000000002
141,141,Seth Curry,29,"Charlotte, NC",USA,35.2270869,-80.8431267,Duke University,,,11.1
142,142,Stephen Curry,32,"Akron, OH",USA,41.0814447,-81.51900529999999,Davidson College,,,39.5
143,143,Troy Daniels,28,"Roanoke, VA",USA,37.2709704,-79.9414266,Virginia Commonwealth University,,,8.7
144,144,Anthony Davis,27,"Chicago, IL",USA,41.8781136,-87.6297982,University of Kentucky,,,45.8
145,145,Deyonta Davis,23,"Muskegon, MI",USA,43.2341813,-86.24839209999999,Michigan State University,,,9.5
146,146,Ed Davis,30,"Washington, DC",USA,38.9071923,-77.0368707,University of North Carolina,,,16.0
147,147,Tyler Davis,22,"San Jose, CA",USA,37.3382082,-121.8863286,,,,1.0
148,148,Dewayne Dedmon,30,"Lancaster, CA",USA,34.6867846,-118.1541632,University of Southern California,,,21.9
149,149,Sam Dekker,25,"Sheboygan, WI",USA,43.7508284,-87.71453,University of Wisconsin,,,12.2
150,150,Sam Dekker,25,"Sheboygan, WI",USA,43.7508284,-87.71453,University of Wisconsin,,,10.999999999999998
151,151,Ángel Delgado,25,Santo Domingo,Dominican Republic,18.4860575,-69.93121169999999,,,,4.0
152,152,Matthew Dellavedova,29,Maryborough,Australia,-25.5232627,152.6970636,Saint Mary's College of California,,,5.1000000000000005
153,153,Matthew Dellavedova,29,Maryborough,Australia,-25.5232627,152.6970636,Saint Mary's College of California,,,13.8
154,154,Luol Deng,34,Wow,South Sudan,7.7091884,27.9834738,Duke University,,,12.3
155,155,DeMar DeRozan,30,"Compton, CA",USA,33.8958492,-118.2200712,University of Southern California,,,35.0
156,156,Marcus Derrickson,24,"Washington, DC",USA,38.9071923,-77.0368707,,,,5.6
157,157,Cheick Diallo,23,Kayes,Mali,14.4367876,-11.4452717,University of Kansas,,,12.7
158,158,Hamidou Diallo,21,"Queens, NY",USA,40.7282239,-73.7948516,,,,6.5
159,159,Gorgui Dieng,30,Kebemer,Senegal,15.3763381,-16.4464766,University of Louisville,,,12.5
160,160,Spencer Dinwiddie,27,"Los Angeles, CA",USA,34.0522342,-118.2436849,University of Colorado,,,24.6
161,161,Donte DiVincenzo,23,"Newark, DE",USA,39.6837226,-75.74965720000002,,,,9.1
162,162,Luka Doncic,21,Ljubjana,Slovenia,46.0569465,14.5057515,,,,36.4
163,163,Tyler Dorsey,24,"Pasadena, CA",USA,34.1477849,-118.1445155,University of Oregon,,,5.8
164,164,Tyler Dorsey,24,"Pasadena, CA",USA,34.1477849,-118.1445155,University of Oregon,,,15.400000000000002
165,165,Damyean Dotson,25,"Houston, TX",USA,29.7604267,-95.3698028,University of Houston,,,17.0
166,166,PJ Dozier,23,"Columbia, SC",USA,34.0007104,-81.0348144,,,,7.1
167,167,Goran Dragic,33,Ljubljana,Slovenia,46.0569465,14.5057515,,,,22.500000000000004
168,168,Andre Drummond,26,"Mount Vernon, NY",USA,40.9125992,-73.8370786,University of Connecticut,,,37.8
169,169,Jared Dudley,34,"San Diego, CA",USA,32.715738,-117.1610838,Boston College,,,9.8
170,170,Kris Dunn,26,"New London, CT",USA,41.3556539,-72.0995209,Providence College,,,23.4
171,171,Kevin Durant,31,"Washington, DC",USA,38.9071923,-77.0368707,University of Texas at Austin,,,40.2
172,172,Trevon Duval,21,"New Castle, DE",USA,39.6620397,-75.5668166,,,,2.7
173,173,Vincent Edwards,24,"Middletown, OH",USA,39.5150576,-84.39827629999999,,,,2.5
174,174,Henry Ellenson,23,"Rice Lake, WI",USA,45.5060682,-91.738225,Marquette University,,,11.0
175,175,Henry Ellenson,23,"Rice Lake, WI",USA,45.5060682,-91.738225,Marquette University,,,10.8
176,176,Wayne Ellington,32,"Wynnewood, PA",USA,39.9995913,-75.273018,University of North Carolina,,,12.6
177,177,Wayne Ellington,32,"Wynnewood, PA",USA,39.9995913,-75.273018,University of North Carolina,,,16.8
178,178,Joel Embiid,26,Yaounde,Cameroon,3.8480325,11.5020752,University of Kansas,,,47.40000000000001
179,179,James Ennis III,29,"Ventura, CA",USA,34.2804923,-119.2945199,"California State University, Long Beach",,,12.4
180,180,James Ennis III,29,"Ventura, CA",USA,34.2804923,-119.2945199,"California State University, Long Beach",,,10.3
181,181,Drew Eubanks,23,"Starkville, MS",USA,33.4503998,-88.81838719999999,,,,3.9
182,182,Jacob Evans,22,"Jacksonville, NC",USA,34.7540524,-77.4302414,,,,3.2000000000000006
183,183,Jawun Evans,23,"Greenville, SC",USA,34.85261759999999,-82.3940104,Oklahoma State University,,,4.4
184,184,Jawun Evans,23,"Greenville, SC",USA,34.85261759999999,-82.3940104,Oklahoma State University,,,0.0
185,185,Tyreke Evans,30,"Chester, PA",USA,39.849557,-75.3557457,University of Memphis,,,16.6
186,186,Dante Exum,24,Melbourne,Australia,-37.8136276,144.9630576,,,,11.5
187,187,Kenneth Faried,30,"Newark, NJ",USA,40.735657,-74.1723667,Morehead State University,,,9.5
188,188,Kenneth Faried,30,"Newark, NJ",USA,40.735657,-74.1723667,Morehead State University,,,23.300000000000004
189,189,Derrick Favors,28,"Atlanta, GA",USA,33.7489954,-84.3879824,Georgia Institute of Technology,,,22.5
190,190,Cristiano Felicio,27,Pouso Alegre,Brazil,-22.2480373,-45.9420118,,,,8.499999999999998
191,191,Raymond Felton,35,"Marion, SC",USA,34.178216,-79.4006069,University of North Carolina,,,7.2
192,192,Terrance Ferguson,21,"Tulsa, OK",USA,36.1539816,-95.99277500000001,,,,10.5
193,193,Yogi Ferrell,26,"Indianapolis, IN",USA,39.768403,-86.158068,Indiana University,,,9.9
194,194,Dorian Finney-Smith,26,"Portsmouth, VA",USA,36.8354258,-76.2982742,University of Florida,,,14.9
195,195,Bryn Forbes,26,"Lansing, MI",USA,42.732535,-84.5555347,Michigan State University,,,17.3
196,196,Evan Fournier,27,Saint-Maurice,France,48.8205669,2.423655,,,,22.9
197,197,De'Aaron Fox,22,"New Orleans, LA",USA,29.95106579999999,-90.0715323,University of Kentucky,,,30.600000000000005
198,198,Tim Frazier,29,"Houston, TX",USA,29.7604267,-95.3698028,Pennsylvania State University,,,12.9
199,199,Tim Frazier,29,"Houston, TX",USA,29.7604267,-95.3698028,Pennsylvania State University,,,12.8
200,200,Melvin Frazier Jr.,23,"New Orleans, LA",USA,29.95106579999999,-90.0715323,,,,2.2
201,201,Jimmer Fredette,31,"Glens Falls, NY",USA,43.3095164,-73.6440058,Brigham Young University,,,6.7
202,202,Channing Frye,36,"White Plains, NY",USA,41.03398620000001,-73.7629097,University of Arizona,,,5.9
203,203,Markelle Fultz,21,"Upper Marlboro, MD",USA,38.8159473,-76.74969089999999,University of Washington,,,16.099999999999998
204,204,Danilo Gallinari,31,Sant'Angelo Lodigiano,Italy,45.2323253,9.412306899999999,,,,29.5
205,205,Langston Galloway,28,"Baton Rouge, LA",USA,30.4514677,-91.18714659999999,Saint Joseph's University,,,12.2
206,206,Billy Garrett,25,"Chicago, IL",USA,41.8781136,-87.6297982,,,,9.499999999999998
207,207,Marc Gasol,35,Barcelona,Spain,41.3850639,2.1734035,,,,31.3
208,208,Marc Gasol,35,Barcelona,Spain,41.3850639,2.1734035,,,,21.5
209,209,Pau Gasol,39,Barcelona,Spain,41.3850639,2.1734035,,,,11.5
210,210,Pau Gasol,39,Barcelona,Spain,41.3850639,2.1734035,,,,5.6
211,211,Rudy Gay,33,"Brooklyn, NY",USA,40.6781784,-73.9441579,University of Connecticut,,,24.4
212,212,Paul George,29,"Palmdale, CA",USA,34.5794343,-118.1164613,"California State University, Fresno",,,42.8
213,213,Taj Gibson,34,"Brooklyn, NY",USA,40.6781784,-73.9441579,University of Southern California,,,19.8
214,214,Harry Giles III,21,"Winston-Salem, NC",USA,36.09985959999999,-80.244216,Duke University,,,13.2
215,215,Shai Gilgeous-Alexander,21,"Toronto, ON",Canada,43.653226,-79.3831843,,,,18.6
216,216,Rudy Gobert,27,Saint-Quentin,France,49.847066,3.2874,,,,33.800000000000004
218,218,Aaron Gordon,24,"San Jose, CA",USA,37.3382082,-121.8863286,University of Arizona,,,28.4
219,219,Eric Gordon,31,"Indianapolis, IN",USA,39.768403,-86.158068,Indiana University,,,21.3
220,220,Marcin Gortat,36,Lodz,Poland,51.7592485,19.4559833,,,,12.6
221,221,Devonte' Graham,25,"Raleigh, NC",USA,35.7795897,-78.6381787,,,,9.2
222,222,Treveon Graham,26,"Washington, DC",USA,38.9071923,-77.0368707,Virginia Commonwealth University,,,9.9
223,223,Jerami Grant,26,"Portland, OR",USA,45.5051064,-122.6750261,Syracuse University,,,21.8
224,224,Jerian Grant,27,"Silver Spring, MD",USA,38.99066570000001,-77.026088,University of Notre Dame,,,9.2
226,226,Danny Green,32,"North Babylon, NY",USA,40.7164881,-73.3217861,University of North Carolina,,,17.5
227,227,Draymond Green,30,"Saginaw, MI",USA,43.4194699,-83.9508068,Michigan State University,,,24.1
228,228,Gerald Green,34,"Houston, TX",USA,29.7604267,-95.3698028,,,,13.1
229,229,JaMychal Green,29,"Montgomery, AL",USA,32.3792233,-86.3077368,University of Alabama,,,18.200000000000006
230,230,JaMychal Green,29,"Montgomery, AL",USA,32.3792233,-86.3077368,University of Alabama,,,16.7
231,231,Jeff Green,33,"Cheverly, MD",USA,38.92816699999999,-76.915807,Georgetown University,,,19.200000000000006
232,232,Blake Griffin,31,"Oklahoma City, OK",USA,35.4675602,-97.5164276,University of Oklahoma,,,38.5
233,233,Daniel Hamilton,24,"Los Angeles, CA",USA,34.0522342,-118.2436849,University of Connecticut,,,7.1
235,235,Tim Hardaway Jr.,28,"Orinda, CA",USA,37.8771476,-122.1796888,University of Michigan,,,26.3
236,236,Tim Hardaway Jr.,28,"Orinda, CA",USA,37.8771476,-122.1796888,University of Michigan,,,21.3
237,237,James Harden,30,"Los Angeles, CA",USA,34.0522342,-118.2436849,Arizona State University,,,52.90000000000001
238,238,Maurice Harkless,26,"Queens, NY",USA,40.7282239,-73.7948516,St. John's University,,,15.4
239,239,Montrezl Harrell,26,"Tarboro, NC",USA,35.8968236,-77.5358049,University of Louisville,,,27.3
240,240,Devin Harris,37,"Milwaukee, WI",USA,43.0389025,-87.9064736,University of Wisconsin,,,10.4
241,241,Gary Harris,25,"Fishers, IN",USA,39.9567548,-86.01335,Michigan State University,,,19.2
242,242,Joe Harris,28,"Chelan, WA",USA,47.8408323,-120.0168079,University of Virginia,,,20.7
243,243,Tobias Harris,27,"Islip, NY",USA,40.7298207,-73.2103934,University of Tennessee,,,32.5
244,244,Tobias Harris,27,"Islip, NY",USA,40.7298207,-73.2103934,University of Tennessee,,,29.9
245,245,Andrew Harrison,25,"San Antonio, TX",USA,29.4241219,-98.49362819999999,University of Kentucky,,,2.0
246,246,Andrew Harrison,25,"San Antonio, TX",USA,29.4241219,-98.49362819999999,University of Kentucky,,,8.1
247,247,Andrew Harrison,25,"San Antonio, TX",USA,29.4241219,-98.49362819999999,University of Kentucky,,,3.5
248,248,Shaquille Harrison,26,"Kansas City, MO",USA,39.0997265,-94.5785667,,,,13.0
249,249,Josh Hart,25,"Silver Spring, MD",USA,38.99066570000001,-77.026088,Villanova University,,,14.5
250,250,Isaiah Hartenstein,21,"Eugene, OR",Germany,44.0520691,-123.0867536,,,,4.7
251,251,Udonis Haslem,39,"Miami, FL",USA,25.7616798,-80.1917902,University of Florida,,,5.4
252,252,Gordon Hayward,30,"Indianapolis, IN",USA,39.768403,-86.158068,Butler University,,,20.5
253,253,John Henson,29,"Greensboro, NC",USA,36.0726354,-79.7919754,University of North Carolina,,,13.0
254,254,Juancho Hernangomez,24,Madrid,Spain,40.4167754,-3.7037902,,,,11.2
256,256,Mario Hezonja,25,Dubrovnik,Croatia,42.65066059999999,18.0944238,,,,15.5
257,257,Isaiah Hicks,25,"Oxford, NC",USA,36.3107004,-78.5908345,University of North Carolina,,,8.3
258,258,Buddy Hield,27,Freeport,Bahamas,26.5333159,-78.6429019,University of Oklahoma,,,29.3
260,260,Nene Hilario,37,Sao Carlos,Brazil,-22.0087082,-47.8909263,,,,7.9
261,261,George Hill,33,"Indianapolis, IN",USA,39.768403,-86.158068,Indiana University-Purdue University Indianapolis,,,16.8
262,262,George Hill,33,"Indianapolis, IN",USA,39.768403,-86.158068,Indiana University-Purdue University Indianapolis,,,12.5
263,263,Solomon Hill,29,"Los Angeles, CA",USA,34.0522342,-118.2436849,University of Arizona,,,9.2
264,264,Aaron Holiday,23,"Ruston, LA",USA,32.5232053,-92.63792699999999,,,,9.6
265,265,Jrue Holiday,29,"Chatsworth, CA",USA,34.2506356,-118.61481,"University of California, Los Angeles",,,36.3
266,266,Justin Holiday,31,"Mission Hills, CA",USA,34.2722582,-118.4688776,University of Washington,,,20.6
267,267,Justin Holiday,31,"Mission Hills, CA",USA,34.2722582,-118.4688776,University of Washington,,,15.9
